addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x093e5C256Ff8B32c7F1377f4C20e331674C77F00,totalsupply-overflow,Dignity,DIG,@Livecoin,3000000000,8,_
0x0b76544F6C413a555F309Bf76260d1E02377c02A,totalsupply-overflow,Internet Node Token,INT,@CoinEgg@ForkDelta@OKEx,1000000000,6,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,totalsupply-overflow,SwftCoin,SWFTC,@CoinBene@HitBTC@Huobi@OEX@OKEx@OTCBTC,10000000000,8,_
0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,totalsupply-overflow,BCDN,BCDN,@BigONE@Gate.io,1000000000,15,_
0x219218f117DC9348b358b8471c55A073E5e0dA0b,totalsupply-overflow,Gold Reward Token,GRX,@Coinexchange@ForkDelta@Idex@Livecoin,20000000,18,_
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,totalsupply-overflow,BitAsean,BAS,@ForkDelta@HitBTC,30000000,8,_
0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,totalsupply-overflow,Amber Token,AMB,@Binance@Coinrail@ForkDelta@Gatecoin@HitBTC@Idex@KuCoin@Livecoin@Mercatox,361477437,18,_
0x59061b6f26BB4A9cE5828A19d35CFD5A4B80F056,totalsupply-overflow,Legends,LGD,@Bittrex,30000000,8,_
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,totalsupply-overflow,Pylon Token,PYLNT,@Bit-Z,633858,18,_
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,totalsupply-overflow,SANtiment network token,SAN,@BitForex@Ethfinex@HitBTC@IDEX@LATOKEN@Liqui@OKEx,83336999,18,_
0x88d50B466BE55222019D71F9E8fAe17f5f45FCA1,totalsupply-overflow,Cryptaur,CPT,@HitBTC@LATOKEN,27662180148,8,_
0x9653cFd0865ad8313BEA2f0C2EC0584BFd05115B,totalsupply-overflow,FuturXE,FXE,@CoinExchange,84000000,8,_
0xAc3Da587eac229C9896D919aBC235CA4Fd7f72c1,totalsupply-overflow,Target Coin,TGT,@CoinExchange@HitBTC,2000100000,1,_
0xAef38fBFBF932D1AeF3B808Bc8fBd8Cd8E1f8BC5,totalsupply-overflow,CreditBIT,CRB,@Bittrex,16690934,8,_
0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009,totalsupply-overflow,SingularDTV,SNGLS,@BigONE@Binance@Braziliex@Ethfinex@ForkDelta@HitBTC@Idex@Liqui@Livecoin@OKEx@Upbit,1000000000,0,_
0xc72fe8e3Dd5BeF0F9f31f259399F301272eF2a2D,totalsupply-overflow,Insights Network,INSTAR,@Bancor Network@Bibox@Gate.io@Idex@KKCoin,214155386,18,_
0xd7631787B4dCc87b1254cfd1e5cE48e96823dEe8,totalsupply-overflow,SOCIAL,SCL,@Bancor Network@Coinexchange@Cryptopia@ForkDelta@HitBTC@Idex@Mercatox@YoBit,16714019,8,_
