addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x24A77c1F17C547105E14813e517be06b0040aa76,transferFrom-no-return,Live Stars Token,LIVE,@Cryptopia@DDEX@ForkDelta@OpenLedger DEX,200000000,18,_
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,transferFrom-no-return,SkinCoin,SKIN,@Cryptopia@ForkDelta@HitBTC@Idex@Mercatox,388183000,6,_
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,transferFrom-no-return,Crystal Clear Token,CCT,@ForkDelta@HitBTC@YoBit,6924060,18,_
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,transferFrom-no-return,high-performance-blockchain,HPB,@Bibox@Bit-Z@Idex@KKEX@KuCoin,100000000,18,_
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,transferFrom-no-return,Adshares Token,ADST,@Coinexchange@Cryptopia@ForkDelta@Idex@Mercatox,19379103,0,_
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,transferFrom-no-return,BlockCAT Token,CAT,@Cryptopia@ForkDelta@Idex@Radar Relay,9200151,18,_
0x622dFfCc4e83C64ba959530A5a5580687a57581b,transferFrom-no-return,CUBE,AUTO,@HitBTC@Idex@OKEx,7200000000,18,_
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,transferFrom-no-return,Royal Kingdom Coin,RKC,@Cryptopia,0,18,_
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,transferFrom-no-return,ATLANT Token,ATL,@Exrates@ForkDelta@HitBTC@Idex@Mercatox@OKEx@YoBit,54175040,18,_
0x81b4D08645DA11374a03749AB170836E4e539767,transferFrom-no-return,Paymon Token,PMNT,@HitBTC@Idex,1000000000,9,_
0x8727c112C712c4a03371AC87a74dD6aB104Af768,transferFrom-no-return,Jetcoin,JET,@COSS@Coinexchange@ForkDelta@Idex@Mercatox,80000000,18,_
0xB45a50545bEEAB73F38F31E5973768C421805E5E,transferFrom-no-return,TKRToken,TKR,@EtherDelta (ForkDelta)@HitBTC@IDEX,12529746,18,_
0xCc34366E3842cA1BD36c1f324d15257960fCC801,transferFrom-no-return,Bonpay Token,BON,@C-CEX@Coinexchange@Cryptopia@ForkDelta@Mercatox@Novaexchange,21745688,18,_
0xEF68e7C694F40c8202821eDF525dE3782458639f,transferFrom-no-return,loopring,LRC,@Binance@Bithumb@Bitpaction@Bittrex@Coinexchange@Cryptobulls@Ethfinex@ForkDelta@Gate.io@HKSY@HitBTC@Idex@OKEx@Upbit@YoBit,1395076054,18,_
0xEa1f346faF023F974Eb5adaf088BbCdf02d761F4,transferFrom-no-return,Blocktix Token,TIX,@Bittrex@Cryptopia@ForkDelta@HitBTC@Radar Relay@Upbit,62500000,18,_
0xF433089366899D83a9f26A773D59ec7eCF30355e,transferFrom-no-return,Metal,MTL,@Abucoins@Binance@Cryptopia@ForkDelta@Huobi@Idex@Livecoin@OKEx@Radar Relay@Tidex@Upbit@ZB,66588888,8,_
0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,transferFrom-no-return,PILLAR,PLR,@Bancor Network@Cryptopia@ForkDelta@HitBTC@Idex,800000000,18,_
0xf05a9382A4C3F29E2784502754293D88b835109C,transferFrom-no-return,REX - Real Estate tokens,REX,@CoinExchange@IDEX,24042947,18,_
